Dataset,Image,Scale,Modele,PSNR,SSIM,Temps_ms
Set5,baby,2,Bicubic,37.5447,0.965,-
Set5,baby,2,SRCNN,34.3035,0.9431,323.05
Set5,baby,2,FSRCNN,35.0181,0.9467,156.93
Set5,baby,2,LESRCNN,34.8852,0.9466,1642.46
Set5,bird,2,Bicubic,38.0428,0.9814,-
Set5,bird,2,SRCNN,34.6444,0.9673,116.39
Set5,bird,2,FSRCNN,35.3599,0.9714,50.33
Set5,bird,2,LESRCNN,34.9154,0.9691,465.37
Set5,butterfly,2,Bicubic,28.3621,0.9284,-
Set5,butterfly,2,SRCNN,25.4529,0.8894,78.01
Set5,butterfly,2,FSRCNN,25.8645,0.9003,59.45
Set5,butterfly,2,LESRCNN,25.8719,0.9003,390.32
Set5,head,2,Bicubic,35.0361,0.885,-
Set5,head,2,SRCNN,32.1519,0.8347,107.06
Set5,head,2,FSRCNN,32.4096,0.8374,50.22
Set5,head,2,LESRCNN,32.1809,0.8314,438.3
Set5,woman,2,Bicubic,33.026,0.9607,-
Set5,woman,2,SRCNN,29.4538,0.9374,94.19
Set5,woman,2,FSRCNN,30.2446,0.9437,47.36
Set5,woman,2,LESRCNN,29.7114,0.9413,428.34
Set14,baboon,2,Bicubic,24.676,0.7598,-
Set14,baboon,2,SRCNN,21.9567,0.7035,219.43
Set14,baboon,2,FSRCNN,22.4678,0.7183,106.33
Set14,baboon,2,LESRCNN,22.2899,0.7135,1238.96
Set14,barbara,2,Bicubic,27.805,0.8702,-
Set14,barbara,2,SRCNN,24.3901,0.8307,417.46
Set14,barbara,2,FSRCNN,24.1965,0.8324,171.31
Set14,barbara,2,LESRCNN,24.0491,0.8366,2384.95
Set14,bridge,2,Bicubic,28.0367,0.8508,-
Set14,bridge,2,SRCNN,25.2407,0.8006,361.91
Set14,bridge,2,FSRCNN,25.7733,0.8135,93.89
Set14,bridge,2,LESRCNN,25.6154,0.8122,1505.36
Set14,coastguard,2,Bicubic,29.7276,0.8441,-
Set14,coastguard,2,SRCNN,26.5519,0.7795,106.33
Set14,coastguard,2,FSRCNN,26.9711,0.7901,49.24
Set14,coastguard,2,LESRCNN,26.7005,0.7841,539.33
Set14,comic,2,Bicubic,24.613,0.8484,-
Set14,comic,2,SRCNN,23.4214,0.8475,95.1
Set14,comic,2,FSRCNN,21.9943,0.8011,53.11
Set14,comic,2,LESRCNN,21.3292,0.7811,527.3
Set14,face,2,Bicubic,35.0136,0.8849,-
Set14,face,2,SRCNN,32.1288,0.8345,84.73
Set14,face,2,FSRCNN,32.3918,0.8375,54.83
Set14,face,2,LESRCNN,32.1642,0.8313,432.93
Set14,flowers,2,Bicubic,31.1321,0.9233,-
Set14,flowers,2,SRCNN,28.2023,0.8862,203.88
Set14,flowers,2,FSRCNN,28.7289,0.8957,73.94
Set14,flowers,2,LESRCNN,28.3868,0.891,981.49
Set14,foreman,2,Bicubic,33.089,0.9564,-
Set14,foreman,2,SRCNN,30.826,0.9308,101.01
Set14,foreman,2,FSRCNN,30.7911,0.9335,36.87
Set14,foreman,2,LESRCNN,29.8107,0.9245,528.79
Set14,lenna,2,Bicubic,35.3289,0.9243,-
Set14,lenna,2,SRCNN,32.1519,0.8906,286.14
Set14,lenna,2,FSRCNN,32.6878,0.8936,76.4
Set14,lenna,2,LESRCNN,32.0297,0.8891,1463.17
Set14,man,2,Bicubic,29.5275,0.8753,-
Set14,man,2,SRCNN,26.9533,0.8337,376.39
Set14,man,2,FSRCNN,27.118,0.8364,100.2
Set14,man,2,LESRCNN,26.747,0.8366,1500.47
Set14,monarch,2,Bicubic,33.8745,0.9661,-
Set14,monarch,2,SRCNN,31.0201,0.9473,452.88
Set14,monarch,2,FSRCNN,31.5045,0.9516,154.47
Set14,monarch,2,LESRCNN,31.4657,0.9519,2284.38
Set14,pepper,2,Bicubic,33.3207,0.9134,-
Set14,pepper,2,SRCNN,32.1801,0.8884,345.01
Set14,pepper,2,FSRCNN,32.6786,0.8911,73.34
Set14,pepper,2,LESRCNN,32.4554,0.8902,1469.54
Set14,ppt3,2,Bicubic,24.6126,0.932,-
Set14,ppt3,2,SRCNN,26.4992,0.9333,422.44
Set14,ppt3,2,FSRCNN,22.8312,0.9015,141.58
Set14,ppt3,2,LESRCNN,23.2267,0.9167,1956.4
Set14,zebra,2,Bicubic,28.0929,0.8791,-
Set14,zebra,2,SRCNN,27.9811,0.8929,341.74
Set14,zebra,2,FSRCNN,25.7773,0.8349,126.53
Set14,zebra,2,LESRCNN,25.4475,0.8325,1346.54
Set5,baby,3,Bicubic,28.4402,0.8298,-
Set5,baby,3,SRCNN,30.4446,0.8757,258.23
Set5,baby,3,FSRCNN,26.8073,0.7767,65.44
Set5,baby,3,LESRCNN,26.6376,0.7737,1230.56
Set5,bird,3,Bicubic,32.2217,0.9381,-
Set5,bird,3,SRCNN,29.3538,0.9032,84.42
Set5,bird,3,FSRCNN,29.6446,0.909,35.41
Set5,bird,3,LESRCNN,28.6882,0.896,400.93
Set5,butterfly,3,Bicubic,22.1662,0.7986,-
Set5,butterfly,3,SRCNN,21.433,0.7725,101.46
Set5,butterfly,3,FSRCNN,20.0941,0.7459,37.71
Set5,butterfly,3,LESRCNN,19.5483,0.7361,303.57
Set5,head,3,Bicubic,30.7438,0.7753,-
Set5,head,3,SRCNN,29.3346,0.7335,91.96
Set5,head,3,FSRCNN,28.1461,0.6968,48.15
Set5,head,3,LESRCNN,27.7442,0.6782,392.18
Set5,woman,3,Bicubic,26.4029,0.8606,-
Set5,woman,3,SRCNN,25.4095,0.8623,105.15
Set5,woman,3,FSRCNN,24.1292,0.8152,35.28
Set5,woman,3,LESRCNN,23.3633,0.8027,405.27
Set14,baboon,3,Bicubic,20.7262,0.4934,-
Set14,baboon,3,SRCNN,18.9352,0.4905,257.07
Set14,baboon,3,FSRCNN,18.571,0.4297,75.36
Set14,baboon,3,LESRCNN,18.3008,0.4121,998.32
Set14,barbara,3,Bicubic,24.5618,0.7599,-
Set14,barbara,3,SRCNN,21.5762,0.6987,414.29
Set14,barbara,3,FSRCNN,21.7385,0.6991,104.56
Set14,barbara,3,LESRCNN,21.5868,0.6948,1851.12
Set14,bridge,3,Bicubic,22.4302,0.5415,-
Set14,bridge,3,SRCNN,21.9421,0.6221,324.77
Set14,bridge,3,FSRCNN,20.2849,0.4633,42.36
Set14,bridge,3,LESRCNN,20.0657,0.4523,1198.22
Set14,coastguard,3,Bicubic,24.4433,0.6069,-
Set14,coastguard,3,SRCNN,22.8235,0.5579,109.01
Set14,coastguard,3,FSRCNN,22.5048,0.5531,28.07
Set14,coastguard,3,LESRCNN,22.2897,0.5479,460.07
Set14,comic,3,Bicubic,21.2586,0.6944,-
Set14,comic,3,SRCNN,19.6901,0.6832,97.94
Set14,comic,3,FSRCNN,18.753,0.6272,37.44
Set14,comic,3,LESRCNN,18.158,0.604,414.82
Set14,face,3,Bicubic,31.5339,0.7826,-
Set14,face,3,SRCNN,28.8492,0.7054,84.74
Set14,face,3,FSRCNN,28.8042,0.7029,48.38
Set14,face,3,LESRCNN,28.076,0.6745,396.64
Set14,flowers,3,Bicubic,23.2339,0.7113,-
Set14,flowers,3,SRCNN,23.9027,0.7568,174.26
Set14,flowers,3,FSRCNN,20.9663,0.6298,60.34
Set14,flowers,3,LESRCNN,20.6211,0.6106,771.66
Set14,foreman,3,Bicubic,28.0034,0.8888,-
Set14,foreman,3,SRCNN,26.1491,0.8559,100.22
Set14,foreman,3,FSRCNN,25.0721,0.841,26.86
Set14,foreman,3,LESRCNN,24.0755,0.8329,461.32
Set14,lenna,3,Bicubic,26.7609,0.7765,-
Set14,lenna,3,SRCNN,28.2965,0.8051,229.67
Set14,lenna,3,FSRCNN,24.581,0.7081,32.14
Set14,lenna,3,LESRCNN,24.2276,0.6971,1097.63
Set14,man,3,Bicubic,23.4319,0.6414,-
Set14,man,3,SRCNN,23.5762,0.7007,279.12
Set14,man,3,FSRCNN,21.1023,0.553,33.27
Set14,man,3,LESRCNN,20.678,0.5426,1125.17
Set14,monarch,3,Bicubic,26.2913,0.8848,-
Set14,monarch,3,SRCNN,26.6405,0.8901,431.34
Set14,monarch,3,FSRCNN,24.0658,0.8481,118.59
Set14,monarch,3,LESRCNN,23.7214,0.8441,1831.54
Set14,pepper,3,Bicubic,26.0723,0.7972,-
Set14,pepper,3,SRCNN,27.9362,0.8152,271.4
Set14,pepper,3,FSRCNN,24.52,0.7368,128.37
Set14,pepper,3,LESRCNN,24.4282,0.7321,1173.03
Set14,ppt3,3,Bicubic,20.8823,0.8403,-
Set14,ppt3,3,SRCNN,22.1178,0.861,392.76
Set14,ppt3,3,FSRCNN,18.9216,0.7721,91.87
Set14,ppt3,3,LESRCNN,19.1255,0.8075,1559.96
Set14,zebra,3,Bicubic,24.4088,0.7711,-
Set14,zebra,3,SRCNN,23.7219,0.7596,239.34
Set14,zebra,3,FSRCNN,21.5525,0.6936,58.22
Set14,zebra,3,LESRCNN,20.9368,0.6822,986.37
Set5,baby,4,Bicubic,31.1329,0.8687,-
Set5,baby,4,SRCNN,28.2384,0.8239,252.13
Set5,baby,4,FSRCNN,28.6741,0.8257,44.66
Set5,baby,4,LESRCNN,28.3235,0.8207,1206.31
Set5,bird,4,Bicubic,29.4901,0.8857,-
Set5,bird,4,SRCNN,26.4462,0.8282,84.33
Set5,bird,4,FSRCNN,26.3276,0.8304,19.67
Set5,bird,4,LESRCNN,25.8184,0.8214,380.23
Set5,butterfly,4,Bicubic,21.2664,0.7426,-
Set5,butterfly,4,SRCNN,19.0541,0.6688,79.25
Set5,butterfly,4,FSRCNN,18.856,0.6719,32.24
Set5,butterfly,4,LESRCNN,18.2711,0.6801,328.45
Set5,head,4,Bicubic,30.6481,0.7567,-
Set5,head,4,SRCNN,28.2951,0.6981,82.77
Set5,head,4,FSRCNN,27.8372,0.6832,34.35
Set5,head,4,LESRCNN,27.2781,0.6623,376.42
Set5,woman,4,Bicubic,25.7742,0.8429,-
Set5,woman,4,SRCNN,22.8529,0.7944,98.94
Set5,woman,4,FSRCNN,22.7809,0.7969,25.75
Set5,woman,4,LESRCNN,22.3498,0.7881,458.64
Set14,baboon,4,Bicubic,20.734,0.4769,-
Set14,baboon,4,SRCNN,18.7369,0.4341,294.81
Set14,baboon,4,FSRCNN,18.8107,0.4361,53.6
Set14,baboon,4,LESRCNN,18.5343,0.425,1068.59
Set14,barbara,4,Bicubic,23.8599,0.6988,-
Set14,barbara,4,SRCNN,20.9455,0.6395,470.17
Set14,barbara,4,FSRCNN,20.7259,0.6435,81.82
Set14,barbara,4,LESRCNN,20.3673,0.6348,1899.98
Set14,bridge,4,Bicubic,23.0245,0.5904,-
Set14,bridge,4,SRCNN,20.7619,0.5308,252.12
Set14,bridge,4,FSRCNN,20.8536,0.5299,116.53
Set14,bridge,4,LESRCNN,20.5021,0.5184,1169.82
Set14,coastguard,4,Bicubic,23.3595,0.5138,-
Set14,coastguard,4,SRCNN,21.7882,0.4695,100.08
Set14,coastguard,4,FSRCNN,21.5483,0.4636,29.2
Set14,coastguard,4,LESRCNN,21.2686,0.4604,441.04
Set14,comic,4,Bicubic,19.3341,0.5591,-
Set14,comic,4,SRCNN,18.046,0.5604,91.87
Set14,comic,4,FSRCNN,17.0942,0.4891,28.23
Set14,comic,4,LESRCNN,16.5712,0.4652,447.54
Set14,face,4,Bicubic,30.6394,0.7544,-
Set14,face,4,SRCNN,28.2546,0.6946,102.56
Set14,face,4,FSRCNN,27.7427,0.6783,43.44
Set14,face,4,LESRCNN,27.2142,0.6612,335.62
Set14,flowers,4,Bicubic,23.6264,0.7068,-
Set14,flowers,4,SRCNN,22.027,0.668,167.88
Set14,flowers,4,FSRCNN,21.0254,0.6302,95.76
Set14,flowers,4,LESRCNN,20.6502,0.6112,898.79
Set14,foreman,4,Bicubic,26.5196,0.8547,-
Set14,foreman,4,SRCNN,24.4366,0.8033,102.05
Set14,foreman,4,FSRCNN,23.9899,0.8047,17.55
Set14,foreman,4,LESRCNN,22.6949,0.7934,443.6
Set14,lenna,4,Bicubic,29.0552,0.8192,-
Set14,lenna,4,SRCNN,26.1708,0.766,300.32
Set14,lenna,4,FSRCNN,26.196,0.7674,27.73
Set14,lenna,4,LESRCNN,25.7729,0.7629,1302.19
Set14,man,4,Bicubic,24.5841,0.6899,-
Set14,man,4,SRCNN,22.2656,0.6294,248.37
Set14,man,4,FSRCNN,21.8803,0.6199,22.89
Set14,man,4,LESRCNN,21.3005,0.6073,1263.21
Set14,monarch,4,Bicubic,26.7226,0.8865,-
Set14,monarch,4,SRCNN,24.3523,0.8493,423.18
Set14,monarch,4,FSRCNN,24.2459,0.8531,62.2
Set14,monarch,4,LESRCNN,23.7912,0.8551,1723.53
Set14,pepper,4,Bicubic,27.8977,0.8326,-
Set14,pepper,4,SRCNN,26.3965,0.7875,352.15
Set14,pepper,4,FSRCNN,26.3393,0.7874,24.27
Set14,pepper,4,LESRCNN,26.1384,0.7867,1169.48
Set14,ppt3,4,Bicubic,20.6407,0.8266,-
Set14,ppt3,4,SRCNN,19.8264,0.7889,392.09
Set14,ppt3,4,FSRCNN,19.1869,0.7774,77.16
Set14,ppt3,4,LESRCNN,19.1864,0.8123,1605.61
Set14,zebra,4,Bicubic,20.0504,0.5442,-
Set14,zebra,4,SRCNN,21.1004,0.6463,217.42
Set14,zebra,4,FSRCNN,17.528,0.4576,44.17
Set14,zebra,4,LESRCNN,17.4427,0.454,1021.9
